date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:22:49	24/24	---M--	200	added ('OK')	text/plain	date:Mon,%2007%20Jun%202021%2015:28:56%20GMT	https://sujon.softtopit.com/robots.txt		(from )
16:22:53	104167/104167	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:22:54%20GMT	https://sujon.softtopit.com/	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/index.html	(from )
16:22:54	712/712	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jan%202022%2009:54:30%20GMT	https://sujon.softtopit.com/storage/images/profile/icon/1642067670.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/profile/icon/1642067670.png	(from https://sujon.softtopit.com/)
16:22:58	155498/155498	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/bootstrap.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/bootstrap.min.css	(from https://sujon.softtopit.com/)
16:23:01	5612/5612	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/magnific.popup.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/magnific.popup.min.css	(from https://sujon.softtopit.com/)
16:23:09	53460/53460	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/animate.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/animate.min.css	(from https://sujon.softtopit.com/)
16:23:22	3185/3185	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/owl.carousel.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/owl.carousel.min.css	(from https://sujon.softtopit.com/)
16:23:23	744/744	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/vendor/css/owl.carousel.default.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/vendor/css/owl.carousel.default.min.css	(from https://sujon.softtopit.com/)
16:23:25	73356/73356	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/font_awesome/css/all.css	(from https://sujon.softtopit.com/)
16:23:28	3497/3497	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/fonts/flat_icons/flaticon.css	(from https://sujon.softtopit.com/)
16:23:40	120243/120243	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/css/style.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/css/style.css	(from https://sujon.softtopit.com/)
16:23:40	4705/4705	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/css/custome.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/css/custome.css	(from https://sujon.softtopit.com/)
16:23:40	24870/24870	---M-Z	200	added ('OK')	text/css	etag:W/%226126-+uVpBo7uADqOJJro4oqX+KDrabo%22	https://cdn.jsdelivr.net/npm/sweetalert2@9.17.2/dist/sweetalert2.min.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/cdn.jsdelivr.net/npm/sweetalert2@9.17.2/dist/sweetalert2.min.css	(from https://sujon.softtopit.com/)
16:23:42	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/Users/JOSEPH/Desktop/My%20Portfolio/code.jquery.com/jquery-3.5.1.min.js	(from https://sujon.softtopit.com/)
16:23:42	41937/41937	---M-Z	200	added ('OK')	application/javascript	etag:W/%22a3d1-9bSSp2e4IxzRZu+0ncAUts/16gQ%22	https://cdn.jsdelivr.net/npm/sweetalert2@9.17.2/dist/sweetalert2.min.js	C:/Users/JOSEPH/Desktop/My%20Portfolio/cdn.jsdelivr.net/npm/sweetalert2@9.17.2/dist/sweetalert2.min.js	(from https://sujon.softtopit.com/)
16:23:44	17083/17083	---M-Z	200	added ('OK')	text/css	date:Tue,%2027%20Jul%202021%2016:53:06%20GMT	https://sujon.softtopit.com/frontend/assets/css/skins/green-color.css	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/css/skins/green-color.css	(from https://sujon.softtopit.com/)
16:23:46	2822/2822	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jan%202022%2006:28:39%20GMT	https://sujon.softtopit.com/storage/images/logo/1642055319.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/logo/1642055319.png	(from https://sujon.softtopit.com/)
16:23:47	2427/2427	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jan%202022%2006:32:06%20GMT	https://sujon.softtopit.com/storage/images/logo/1642055526.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/logo/1642055526.png	(from https://sujon.softtopit.com/)
16:23:50	26185/26185	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:23:50%20GMT	https://sujon.softtopit.com/service	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/service.html	(from https://sujon.softtopit.com/)
16:23:53	26143/26143	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:23:54%20GMT	https://sujon.softtopit.com/works	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/works.html	(from https://sujon.softtopit.com/)
16:23:55	19745/19745	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:23:58%20GMT	https://sujon.softtopit.com/teams	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/teams.html	(from https://sujon.softtopit.com/)
16:24:01	22578/22578	---MCZ	200	added ('OK')	text/html	date:Thu,%2015%20Feb%202024%2010:24:03%20GMT	https://sujon.softtopit.com/galleries	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/galleries.html	(from https://sujon.softtopit.com/)
16:24:14	46725/46725	---M--	200	added ('OK')	image/jpeg	date:Thu,%2013%20Jan%202022%2009:46:49%20GMT	https://sujon.softtopit.com/storage/images/slide_image/1642067209.jpeg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/slide_image/1642067209.jpg	(from https://sujon.softtopit.com/)
16:24:15	73364/73364	---M--	200	added ('OK')	image/jpeg	date:Sat,%2010%20Feb%202024%2004:06:49%20GMT	https://sujon.softtopit.com/storage/images/about_image/1707538009.jpg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/about_image/1707538009.jpg	(from https://sujon.softtopit.com/)
16:24:19	33618/33618	---M--	200	added ('OK')	image/jpeg	date:Tue,%2027%20Jul%202021%2016:53:08%20GMT	https://sujon.softtopit.com/frontend/assets/img/services/services-bg-img-2.jpg	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/frontend/assets/img/services/services-bg-img-2.jpg	(from https://sujon.softtopit.com/)
16:24:28	32583/32583	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Jul%202021%2013:35:34%20GMT	https://sujon.softtopit.com/storage/images/howiwork/demo-how-i-work-img-2.png	C:/Users/JOSEPH/Desktop/My%20Portfolio/sujon.softtopit.com/storage/images/howiwork/demo-how-i-work-img-2.png	(from https://sujon.softtopit.com/)
